,Codigo_Postal,Distancia_minima_trayectoria,Fecha_Hora,Horario,Latitud,Localidad,Longitud,Margen,Municipio,Precio_biodiesel,Precio_bioetanol,Precio_gas_natural,Precio_gasoleoA,Precio_gasoleoB,Precio_gasolina95,Precio_gasolina98,Provincia,Tipo_de_venta
0,32660,15.152029562630934,1598870294000,L-D: 07:00-23:00,42.193667,ALLARIZ,-7.794806,D,Allariz,,,,1.119,,1.209,,OURENSE,P
1,32435,55.93346167398965,1598870294000,L-D: 07:00-22:00,42.374361,AVION (OURENSE),-8.246028,D,Avión,,,,1.109,,1.199,,OURENSE,P
2,32840,34.93219773811243,1598870294000,L-D: 07:00-23:00,42.034389,BANDE,-7.973083,I,Bande,,,,1.089,0.818,1.199,,OURENSE,P
3,32890,25.790435884145833,1598870294000,L-D: 07:00-23:00,42.318052,BARBADAS,-7.877994,D,Barbadás,,,,1.039,,1.129,,OURENSE,P
4,32890,25.75128792012995,1598870294000,L-D: 07:00-23:00,42.318111,BARBADAS,-7.877389,I,Barbadás,,,,1.099,,1.199,,OURENSE,P
5,32300,56.68938205602988,1598870294000,L-D: 06:00-00:00,42.421278,BARCO (O),-6.993889,D,Barco de Valdeorras (O),,,,1.098,,1.229,,OURENSE,P
6,32300,57.532503978350015,1598870294000,L-D: 24H,42.415444,BARCO (O),-6.978833,N,Barco de Valdeorras (O),,,,1.098,0.719,1.229,,OURENSE,P
7,32431,44.3383945522329,1598870294000,L-V: 07:00-22:00; S-D: 08:00-22:00,42.31775,BEADE,-8.1235,N,Beade,,,,1.119,,1.219,,OURENSE,P
8,32373,42.84494428416026,1598870294000,L-S: 07:00-23:00; D: 08:00-23:00,42.318274,BOLO (O),-7.118577,N,Bolo (O),,,,0.999,0.829,1.099,,OURENSE,P
9,32500,44.54430652124612,1598870294000,L-D: 24H,42.4535,CARBALLIÑO,-8.026639,I,Carballiño (O),,,,1.109,,1.219,,OURENSE,P
10,32500,45.86507190983035,1598870294000,L-D: 24H,42.432194,CARBALLIÑO,-8.068528,I,Carballiño (O),,,,1.109,,1.209,,OURENSE,P
11,32500,46.14404742029128,1598870294000,L: 07:00-23:00,42.425556,CARBALLIÑO,-8.078639,D,Carballiño (O),,,,1.108,0.835,1.208,,OURENSE,P
12,32500,47.20542271594164,1598870294000,L-D: 07:00-23:00,42.429639,CARBALLIÑO,-8.090444,I,Carballiño (O),,,,1.109,,1.209,,OURENSE,P
13,32824,33.28142016955438,1598870294000,L-D: 7:00-23:00,42.218333,OUTOMURO,-8.013389,I,Cartelle,,,,1.076,0.768,1.186,,OURENSE,P
14,32430,39.823473000012655,1598870294000,L: 08:00-22:00,42.306556,FRIEIRA (A),-8.070833,N,Castrelo de Miño,,,,1.109,0.799,1.199,,OURENSE,P
15,32760,24.792464873385736,1598870294000,L-D: 07:00-23:00,42.371167,CASTRO DE CALDELAS (O),-7.423694,I,Castro Caldelas,,,,1.099,0.859,1.199,,OURENSE,P
16,32800,28.262428585499645,1598870294000,L-D: 07:00-00:00,42.158778,CELANOVA,-7.949639,D,Celanova,,,,1.079,0.829,1.199,,OURENSE,P
17,32100,28.699442667627743,1598870294000,L-D: 07:00-23:00,42.383694,GUSTEI,-7.85175,I,Coles,,,,1.099,,1.199,,OURENSE,P
18,32100,32.64662156219382,1598870294000,L-V: 07:30-22:00; S-D: 07:30-15:00,42.417111,CAMBEO,-7.873556,D,Coles,,,,1.099,,1.199,,OURENSE,P
19,32152,30.30888145495231,1598870294000,L-S: 07:30-23:00; D: 08:00-23:00,42.406667,COLES,-7.846389,D,Coles,,,,1.066,,1.166,,OURENSE,P
20,32200,46.13303294685194,1598870294000,L-S: 07:00-22:30; D: 08:00-22:30,42.206028,CORTEGADA,-8.169861,D,Cortegada,,,,1.119,,1.219,,OURENSE,P
21,32689,23.127168513583907,1598870294000,L-S: 07:30-22:00; D: 08:00-21:00,41.988722,CUALEDRO,-7.603278,I,Cualedro,,,,1.119,0.84,1.219,,OURENSE,P
22,32689,24.410810603581904,1598870294000,L-D: 07:00-23:00,41.98325,CUALEDRO,-7.541972,D,Cualedro,,,,1.109,,1.219,,OURENSE,P
23,32860,51.02513193325817,1598870294000,L-D: 07:00-00:00,41.911528,ENTRIMO (CAPITAL),-8.0945,D,Entrimo,,,,1.089,,1.199,,OURENSE,P
24,32547,40.0438943045985,1598870294000,L-D: 24H,42.032111,EROSA,-7.180722,I,Gudiña (A),,,,1.119,,1.209,,OURENSE,P
25,32540,41.291936845721075,1598870294000,L-D: 07:00-22:00,42.057028,GUDIÑA (A),-7.148694,D,Gudiña (A),,,,1.119,0.825,1.209,,OURENSE,P
26,32540,40.31935789556796,1598870294000,L-D: 24H,42.024889,GUDIÑA (A),-7.182083,D,Gudiña (A),,,,1.068,0.669,1.198,,OURENSE,P
27,32897,44.02170220223321,1598870294000,L-D: 07:00-23:00,41.951694,CONCHAS (AS),-8.029389,D,Lobeira,,,,1.089,,1.199,,OURENSE,P
28,32700,13.837351502061784,1598870294000,L-D: 08:00-20:00,42.311944,MACEDA,-7.675556,D,Maceda,,,,1.089,,1.209,,OURENSE,P
29,32700,13.826552664097957,1598870294000,L-D: 08:00-20:00,42.311667,MACEDA,-7.676111,I,Maceda,,,,1.089,0.889,1.209,,OURENSE,P
30,32700,8.869942637823243,1598870294000,L: 06:00-12:00,42.27225,MACEDA,-7.646778,N,Maceda,,,,1.099,0.849,1.199,,OURENSE,P
31,32570,44.74529431167789,1598870294000,L-D: 07:00-23:00,42.425806,MASIDE,-8.057944,I,Maside,,,,1.109,,1.209,,OURENSE,P
32,32411,49.24412746260315,1598870294000,L-S: 08:00-23:00; D: 09:00-23:00,42.273139,MELON,-8.199083,D,Melón,,,,1.099,,1.199,,OURENSE,P
33,32830,26.203320309472808,1598870294000,L-V: 07:00-23:00; S-D: 08:00-23:00,42.228556,MERCA (A),-7.925861,D,Merca (A),,,,1.099,0.769,1.219,,OURENSE,P
34,32590,52.80923626153519,1598870294000,L-D: 07:00-23:00,42.038694,A MEZQUITA,-7.009194,D,Mezquita (A),,,,1.129,,1.229,,OURENSE,P
35,32160,24.508377513355693,1598870294000,L-V: 07:30-21:00; S-D: 09:00-20:00,42.397361,NOGUEIRA,-7.735417,I,Nogueira de Ramuín,,,,1.081,,1.183,,OURENSE,P
36,32005,25.77396640450215,1598870294000,L-V: 07:00-22:00; S: 08:00-22:00; D: 08:00-14:00,42.332028,OURENSE,-7.865306,D,Ourense,,,,1.099,,1.199,,OURENSE,P
37,32005,24.893948849672938,1598870294000,L-D: 24H,42.321219,OURENSE,-7.862383,N,Ourense,,,,1.059,,1.169,,OURENSE,P
38,32005,25.897679747691857,1598870294000,L-D: 24H,42.32075,OURENSE,-7.877278,N,Ourense,,,,1.079,,1.179,,OURENSE,P
39,32003,26.321613006110884,1598870294000,L-D: 24H,42.339139,OURENSE,-7.866528,N,Ourense,,,,1.059,,1.169,,OURENSE,P
40,32004,24.96370458832756,1598870294000,L-D: 07:00-23:00,42.341611,OURENSE,-7.842861,D,Ourense,,,,1.099,,1.219,,OURENSE,P
41,32960,26.199170166759735,1598870294000,L-D: 07:00-15:00,42.356944,VELLE,-7.844639,D,Ourense,,,,1.089,,1.199,,OURENSE,P
42,32002,28.996810315021218,1598870294000,L: 07:00-23:00,42.351306,OURENSE,-7.894778,N,Ourense,,,,1.099,,1.199,,OURENSE,P
43,32001,27.557139915830092,1598870294000,L-D: 24H,42.358056,OURENSE,-7.865333,D,Ourense,,,,1.098,,1.208,,OURENSE,P
44,32001,28.040267186312864,1598870294000,L-D: 07:00-23:00,42.353194,OURENSE,-7.878278,D,Ourense,,,,1.069,,1.169,,OURENSE,P
45,32001,27.728375265810218,1598870294000,L-D: 07:00-23:00,42.369833,OURENSE,-7.853778,D,Ourense,,,,1.069,,1.169,,OURENSE,P
46,32593,34.7175856738974,1598870294000,L-D: 24H,42.343389,SANTA CRUZ,-7.983111,I,Ourense,,,,1.109,,1.209,,OURENSE,P
47,32220,47.990719588220784,1598870294000,L: 07:30-23:00,42.137472,PONTEBARXAS,-8.186667,I,Padrenda,,,,1.089,,1.189,,OURENSE,P
48,32710,23.358751468276544,1598870294000,L: 06:00-00:00,42.344972,PEREIRO DE AGUIAR (O),-7.812389,N,Pereiro de Aguiar (O),,,,0.999,,1.098,,OURENSE,P
49,32792,20.336462816907456,1598870294000,L-D: 06:00-23:00,42.322889,DERRASA (A),-7.790167,D,Pereiro de Aguiar (O),,,,1.099,0.882,1.219,,OURENSE,P
50,32150,31.35644943188083,1598870294000,L-D: 07:00-23:00,42.442722,PEROXA (A),-7.798278,D,Peroxa (A),,,,1.069,0.879,1.169,,OURENSE,P
51,32138,48.50195277501171,1598870294000,L-D: 07:00-23:00,42.513028,REINO (O),-8.017417,D,Piñor,,,,1.109,0.729,1.219,,OURENSE,P
52,32780,33.06246737213511,1598870294000,L-V: 06:30-23:00; S-D: 08:00-23:00,42.340417,POBRA DE TRIVES,-7.260361,I,Pobra de Trives (A),,,,1.089,0.862,1.199,,OURENSE,P
53,32593,32.51855414640927,1598870294000,L-S: 07:00-23:00; D: 08:00-23:00,42.177417,RAMIRAS,-8.004194,D,Ramirás,,,,1.069,,1.179,,OURENSE,P
54,32811,35.81634291499109,1598870294000,L-D: 07:00-23:00,42.187444,RAMIRAS,-8.044833,D,Ramirás,,,,1.095,0.829,1.209,,OURENSE,P
55,32400,44.480742738248246,1598870294000,L-D: 07:00-23:00,42.304083,RIBADAVIA,-8.130722,I,Ribadavia,,,,1.119,,1.219,,OURENSE,P
56,32400,41.90122746222731,1598870294000,L-D: 24H,42.31425,RIBADAVIA,-8.093972,D,Ribadavia,,,,1.109,,1.214,,OURENSE,P
57,32611,35.94238577211041,1598870294000,L-D: 24H,41.982722,RIOS,-7.285694,D,Riós,,,,1.119,0.816,1.199,,OURENSE,P
58,32350,48.105211024214334,1598870294000,L-D: 07:00-23:00,42.39875,RUA DE VALDEORRAS (A),-7.095333,D,Rúa (A),,,,1.089,,1.209,,OURENSE,P
59,32911,24.693976914553602,1598870294000,L: 06:00-23:00,42.31325,SAN CIBRAO DAS VIÑAS,-7.866361,I,San Cibrao das Viñas,,,,1.099,,1.199,,OURENSE,P
60,32911,24.59323988078974,1598870294000,L-D: 06:00-23:00,42.313028,SAN CIBRAO DAS VIÑAS,-7.865111,N,San Cibrao das Viñas,,,,1.099,,1.199,,OURENSE,P
61,32911,19.83081835433137,1598870294000,L-D: 24H,42.289722,SAN CIBRAO DAS VIÑAS,-7.816611,D,San Cibrao das Viñas,,,,1.058,,1.188,,OURENSE,P
62,32911,19.632165511014964,1598870294000,L-D: 24H,42.289667,SAN CIBRAO DAS VIÑAS,-7.813833,D,San Cibrao das Viñas,,,0.874,,,,,OURENSE,P
63,32901,19.519521904795788,1598870294000,L-D: 07:30-23:00,42.289972,POLIGONO INDUSTRIAL,-7.811972,D,San Cibrao das Viñas,,,,0.953,,1.083,,OURENSE,P
64,32910,21.73955893815696,1598870294000,L-D: 24H,42.250722,INFESTA (SAN CIBRAO DAS VIÑAS),-7.864556,D,San Cibrao das Viñas,,,,1.129,,1.229,,OURENSE,P
65,32910,21.762917590584436,1598870294000,L-D: 07:00-23:00,42.251056,INFESTA (SAN CIBRAO DAS VIÑAS),-7.864722,I,San Cibrao das Viñas,,,,1.129,,1.229,,OURENSE,P
66,32130,43.23231949737192,1598870294000,L-S: 07:00-23:00,42.467583,CEA,-7.98825,I,San Cristovo de Cea,,,,1.099,0.789,1.209,,OURENSE,P
67,32690,19.439663077798027,1598870294000,L-V: 07:00-22:00,42.258139,TABOADELA,-7.831972,D,Taboadela,,,,1.115,,1.204,,OURENSE,P
68,32690,19.52471662636818,1598870294000,L-V: 07:00-22:00,42.258944,TABOADELA,-7.832667,I,Taboadela,,,,1.115,,1.204,,OURENSE,P
69,32690,18.504250126603733,1598870294000,L-D: 24H,42.242886,TABOADELA,-7.826799,N,Taboadela,,,,1.139,,,,OURENSE,P
70,32695,19.691044927368388,1598870294000,L-D: 06:00-23:00,42.019583,TRASMIRAS,-7.608472,I,Trasmiras,,,,1.119,0.84,1.199,,OURENSE,P
71,32695,19.721671666993334,1598870294000,L: 06:00-00:00,42.019306,TRASMIRAS,-7.608611,N,Trasmiras,,,,1.139,,1.219,,OURENSE,P
72,32813,29.07632695941403,1598870294000,L-D: 07:00-23:00,42.127306,VEREA,-7.950611,D,Verea,,,,1.079,,1.199,,OURENSE,P
73,32600,31.698453293357836,1598870294000,L-D: 06:00-22:00,41.939472,VERIN,-7.445944,I,Verín,,,,1.119,,1.229,,OURENSE,P
74,32600,32.2722337799797,1598870294000,L-D: 07:00-22:00,41.945472,VERIN,-7.415861,D,Verín,,,,1.119,0.816,1.229,,OURENSE,P
75,32699,44.06483237584176,1598870294000,L-D: 24H,41.825222,FECES DE ABAIXO,-7.425222,I,Verín,,,,1.089,,1.229,,OURENSE,P
76,32550,42.14196001748138,1598870294000,L-V: 07:30-22:30; S: 08:00-22:30; D: 09:00-21:00,42.188778,VIANA DO BOLO,-7.101333,I,Viana do Bolo,,,,1.109,0.849,1.229,,OURENSE,P
77,32340,50.20795552676947,1598870294000,L-D: 06:30-10:30,42.408222,VILAMARTIN DE VALDEORRAS,-7.073194,D,Vilamartín de Valdeorras,,,,1.109,,1.229,,OURENSE,P
78,32630,15.724511157085516,1598870294000,L-D: 24H,42.077917,XINZO DE LIMIA,-7.714583,D,Xinzo de Limia,,,,1.119,0.849,1.209,,OURENSE,P
79,32630,17.51054871925821,1598870294000,L-D: 07:00-23:00,42.059278,XINZO DE LIMIA,-7.714833,I,Xinzo de Limia,,,,1.119,0.849,1.199,,OURENSE,P
80,32630,16.52143527610203,1598870294000,L-D: 07:00-23:00,42.075556,XINZO DE LIMIA,-7.727083,I,Xinzo de Limia,,,,1.119,0.839,1.199,,OURENSE,P
81,32630,17.01916323992111,1598870294000,L-D: 07:00-23:00,42.072667,XINZO DE LIMIA,-7.732,I,Xinzo de Limia,,,,1.119,0.849,1.199,,OURENSE,P
